url,storeName,storeNumber,city,state,zip
https://www.homedepot.com/l/West-Palm-Beach/FL/West-Palm-Beach/33411/6330,West Palm Beach,6330,West Palm Beach,FL,33411
https://www.homedepot.com/l/West-Port-St-Lucie/FL/Port-Saint-Lucie/34986/6376,West Port St Lucie,6376,Port Saint Lucie,FL,34986
https://www.homedepot.com/l/West-Shreveport/LA/Shreveport/71129/381,West Shreveport,381,Shreveport,LA,71129
https://www.homedepot.com/l/Western-Hills/OH/Cincinnati/45211/3822,Western Hills,3822,Cincinnati,OH,45211
https://www.homedepot.com/l/Wichita-Falls/TX/Wichita-Falls/76308/6588,Wichita Falls,6588,Wichita Falls,TX,76308
https://www.homedepot.com/l/Wildwood/FL/Wildwood/34785/6842,Wildwood,6842,Wildwood,FL,34785
https://www.homedepot.com/l/Wilkins/PA/Pittsburgh/15235/4116,Wilkins,4116,Pittsburgh,PA,15235
https://www.homedepot.com/l/Williamsburg/VA/Williamsburg/23188/4635,Williamsburg,4635,Williamsburg,VA,23188
https://www.homedepot.com/l/Wilmington/NC/Wilmington/28403/3629,Wilmington,3629,Wilmington,NC,28403
https://www.homedepot.com/l/Winchester/VA/Winchester/22601/4618,Winchester,4618,Winchester,VA,22601
https://www.homedepot.com/l/Windsor/CA/Windsor/95492/6667,Windsor,6667,Windsor,CA,95492
https://www.homedepot.com/l/Winston-Salem/NC/Winston-Salem/27105/3641,Winston Salem,3641,Winston Salem,NC,27105
https://www.homedepot.com/l/Woodland/CA/Woodland/95776/1068,Woodland,1068,Woodland,CA,95776
https://www.homedepot.com/l/World-Commerce-Center/FL/Saint-Augustine/32092/6342,World Commerce Center,6342,Saint Augustine,FL,32092
https://www.homedepot.com/l/Yorkville/IL/Yorkville/60560/6887,Yorkville,6887,Yorkville,IL,60560
https://www.homedepot.com/l/Yuba-City/CA/Yuba-City/95993/1019,Yuba City,1019,Yuba City,CA,95993
